Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
06/10/16,Exxon Mobil Corporation,Dividend,,,$22.50
06/10/16,"Honeywell International, Inc.",Dividend,,,$5.95
06/10/16,Eli Lilly and Company,Dividend,,,$10.20
06/13/16,BlackRock Liquidity TempFund,Purchase,38.650,$1.00,-$38.65
06/13/16,Six Flags Entertainment Corp,Dividend,,,$46.40
06/14/16,BlackRock Liquidity TempFund,Purchase,46.400,$1.00,-$46.40
06/15/16,"Time Warner, Inc.",Dividend,,,$4.03
06/15/16,Valero Energy Corp 06/15/17 6.125%,Interest,,,$765.63
06/16/16,BlackRock Liquidity TempFund,Purchase,769.660,$1.00,-$769.66
06/16/16,Duke Energy Corp,Dividend,,,$41.25
06/16/16,"Home Depot, Inc.",Dividend,,,$13.80
06/16/16,"Prudential Financial, Inc.",Dividend,,,$15.40
06/17/16,BlackRock Liquidity TempFund,Purchase,70.450,$1.00,-$70.45
06/20/16,"Dominion Resources, Inc.",Dividend,,,$42.00
06/21/16,BlackRock Liquidity TempFund,Purchase,42.000,$1.00,-$42.00
06/24/16,Lockheed Martin Corp,Dividend,,,$33.00
06/27/16,BlackRock Liquidity TempFund,Purchase,33.000,$1.00,-$33.00
06/27/16,"American Int'l Group, Inc.",Dividend,,,$9.60
06/27/16,"CME Group, Inc.",Dividend,,,$6.00
Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
06/28/16,BlackRock Liquidity TempFund,Purchase,15.600,$1.00,-$15.60
06/28/16,"UnitedHealth Group, Inc.",Dividend,,,$12.50
06/29/16,BlackRock Liquidity TempFund,Purchase,12.500,$1.00,-$12.50
06/29/16,"Gilead Sciences, Inc.",Dividend,,,$14.10
06/29/16,Vector Group Ltd,Dividend,,,$82.00
06/30/16,BlackRock Liquidity TempFund,Purchase,96.100,$1.00,-$96.10
06/30/16,Eversource Energy,Dividend,,,$44.50
06/30/16,"Pepsico, Inc.",Dividend,,,$7.53
06/30/16,BlackRock Liquidity TempFund,Dividend,,,$3.90
