Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
02/24/16,Six Flags Entertainment Corp,Purchase,80.000,$51.06,"-$4,085.55"
02/26/16,Costco Wholesale Corporation,Dividend,,,$4.00
02/26/16,Charles Schwab Corporation,Dividend,,,$4.20
02/29/16,BlackRock Liquidity TempFund,Sale,"-10,098.320",$1.00,"$10,098.32"
02/29/16,BlackRock Liquidity TempFund,Dividend,,,$14.42
03/01/16,"American Water Works Company, Inc.",Dividend,,,$10.20
03/01/16,Comcast Corp 03/01/20 5.15%,Interest,,,$643.75
03/01/16,Wells Fargo & Company,Dividend,,,$15.00
03/02/16,BlackRock Liquidity TempFund,Purchase,683.370,$1.00,-$683.37
03/04/16,Boeing Co,Dividend,,,$10.90
03/07/16,BlackRock Liquidity TempFund,Purchase,10.900,$1.00,-$10.90
03/08/16,Starbucks Corporation,Sale,-10.000,$57.75,$577.54
03/10/16,Exxon Mobil Corporation,Dividend,,,$21.90
03/10/16,"Honeywell International, Inc.",Dividend,,,$5.95
03/10/16,Eli Lilly and Company,Dividend,,,$10.20
03/11/16,BlackRock Liquidity TempFund,Purchase,615.590,$1.00,-$615.59
03/14/16,IBM Corp 09/14/17 5.7%,Interest,,,$855.00
03/15/16,BlackRock Liquidity TempFund,Purchase,855.000,$1.00,-$855.00
03/15/16,"CME Group, Inc. 09/15/22 3%",Interest,,,$675.00
03/15/16,"Time Warner, Inc.",Dividend,,,$4.03
03/15/16,"Verizon Comm, Inc. 09/15/23 5.15%",Interest,,,$901.25
03/16/16,BlackRock Liquidity TempFund,Purchase,"1,580.280",$1.00,"-$1,580.28"
03/16/16,Duke Energy Corp,Dividend,,,$41.25
03/17/16,BlackRock Liquidity TempFund,Purchase,41.250,$1.00,-$41.25
Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
03/17/16,"Anheuser-Busch, Inc. 02/01/23 3.3%",Purchase,"30,000.000",$1.03,"-$31,026.90"
03/17/16,"Anheuser-Busch, Inc. 02/01/23 3.3%",Accrued Interest Purchased,,,-$156.75
03/17/16,"Citigroup, Inc. 01/14/22 4.5%",Purchase,"45,000.000",$1.08,"-$48,828.15"
03/17/16,"Citigroup, Inc. 01/14/22 4.5%",Accrued Interest Purchased,,,-$382.50
03/17/16,"Prudential Financial, Inc.",Dividend,,,$15.40
03/17/16,"Verizon Communications, Inc.",Sale,-30.000,$53.67,"$1,610.23"
03/18/16,BlackRock Liquidity TempFund,Purchase,15.400,$1.00,-$15.40
03/21/16,"Dominion Resources, Inc.",Dividend,,,$42.00
03/22/16,BlackRock Liquidity TempFund,Sale,"-78,742.070",$1.00,"$78,742.07"
03/22/16,Costco Wholesale Corporation,Sale,-10.000,$152.63,"$1,526.35"
03/22/16,"National Retail Properties, Inc.",Sale,-140.000,$45.33,"$6,346.24"
03/22/16,Charles Schwab Corporation,Sale,-70.000,$28.54,"$1,998.06"
03/22/16,Shell Int'l Finance BV 09/22/19 4.3%,Interest,,,$860.00
03/22/16,Starbucks Corporation,Sale,-30.000,$59.52,"$1,785.71"
03/22/16,"UnitedHealth Group, Inc.",Dividend,,,$10.00
03/22/16,"Verizon Communications, Inc.",Sale,-80.000,$53.26,"$4,260.81"
03/22/16,"Xcel Energy, Inc.",Sale,-120.000,$40.87,"$4,904.86"
03/23/16,BlackRock Liquidity TempFund,Purchase,870.000,$1.00,-$870.00
03/24/16,"Home Depot, Inc.",Dividend,,,$13.80
03/24/16,Lockheed Martin Corp,Dividend,,,$33.00
03/28/16,BlackRock Liquidity TempFund,Purchase,"20,868.830",$1.00,"-$20,868.83"
03/28/16,"American Int'l Group, Inc.",Dividend,,,$9.60
03/28/16,Cerner Corp,Sale,-10.000,$51.60,$516.05
03/29/16,BlackRock Liquidity TempFund,Purchase,9.600,$1.00,-$9.60
03/29/16,"Pepsico, Inc. 06/01/18 5%",Purchase,"40,000.000",$1.08,"-$43,348.40"
03/29/16,"Pepsico, Inc. 06/01/18 5%",Accrued Interest Purchased,,,-$666.67
03/30/16,"Gilead Sciences, Inc.",Dividend,,,$12.90
03/30/16,Vector Group Ltd,Dividend,,,$82.00
Date,Security Name,Transaction Type,Shares,Transaction Price,Amount
03/31/16,BlackRock Liquidity TempFund,Purchase,610.950,$1.00,-$610.95
03/31/16,Eversource Energy,Dividend,,,$44.50
03/31/16,Lamar Advertising Co,Dividend,,,$67.50
03/31/16,BlackRock Liquidity TempFund,Dividend,,,$14.30
